"sample","year","scientific","rls_thermal_niche"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25544/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25544/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Gymnocranius euanus",24.99433
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25545/?format=feather","2019","Parupeneus spilurus",20.24947
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25547/?format=feather","2019","Pseudobalistes flavimarginatus",26.246
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
