OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210520-1	165	0	113.49423	716.44776	218.92970	804.77612
20210520-1	166	0	171.92025	786.50746	271.98321	948.88060
20210520-1	167	0	1484.90871	763.34328	1521.64008	843.52239
20210520-1	168	0	702.61490	1924.83582	658.81637	2152.61194
20210520-1	168	1	775.29171	1463.25373	750.88458	1728.82090
20210520-1	169	0	1302.96957	1756.23881	1244.77754	2010.44776
20210520-1	170	0	1082.63484	1802.44776	1031.56558	2018.28358
20210520-1	171	0	985.25813	1760.80597	942.24764	1998.80597
20210520-1	172	0	3563.58867	1796.89552	3613.45750	2047.16418
20210520-1	173	0	2318.26233	1912.44776	2416.25708	2135.14925
20210520-1	174	0	2569.42707	1853.34328	2647.27492	2011.56716
20210520-1	175	0	432.64953	652.95522	497.38090	678.59701
20210520-1	176	0	1000.76180	822.62687	1049.29801	883.01493
20210520-1	177	0	769.74816	1787.50746	733.59601	2080.07463
20210520-1	178	0	465.03253	1699.32836	454.04722	1826.89552
20210520-1	179	0	1099.60126	1633.28358	1073.29171	1737.61194
20210520-1	180	0	2602.25184	892.44776	2576.52781	1022.85075
20210520-1	181	0	3533.57083	891.86567	3467.43861	1062.32836
20210520-1	182	0	1241.36516	967.64179	1282.12487	1040.95522
20210520-1	183	0	3275.80483	1806.31343	3327.05142	2027.68657
20210520-1	184	0	3085.08080	1722.35821	3142.54145	1840.52239
20210520-1	185	0	3337.97272	840.94030	3302.84050	933.56716
20210520-1	185	1	3375.05142	672.88060	3343.80588	779.08955
20210520-1	186	0	709.50682	866.13433	765.80168	918.70149
20210520-1	186	1	725.62434	766.73134	783.26233	821.98507
20210520-1	187	0	816.81112	893.26866	874.59496	962.35821
20210520-1	187	1	840.31584	801.25373	894.07030	869.67164
20210520-1	188	0	3097.13956	629.83582	3064.52676	877.38806
20210520-1	189	0	2144.76705	713.80597	2141.20881	740.23881
20210520-1	190	0	2808.71354	737.83582	2790.55089	815.71642
20210520-1	191	0	2924.89402	870.82090	2885.44911	1039.91045
20210520-1	192	0	3073.98111	819.10448	3030.50682	1031.17910
20210520-1	193	0	3775.52991	695.04478	3728.52046	818.02985
20210520-1	194	0	3457.15950	767.23881	3413.55719	889.73134
20210520-1	195	0	3544.46275	814.25373	3485.41448	948.16418
